,OFFER,RETAILER,BRAND,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO
0,12 Pack OR 2 Liter AND Whole Pizza Pie at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,"Cooking & Baking, Frozen Pizza & Pizza Snacks",
1,12 Pack OR 2 Liter AND Whole Pizza at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,"Cooking & Baking, Frozen Pizza & Pizza Snacks",
2,12 pack OR 2 liter AND Whole Pizza at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,"Cooking & Baking, Frozen Pizza & Pizza Snacks",
3,2 Pack OR 2 Liter AND Whole Pizza at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,"Cooking & Baking, Frozen Pizza & Pizza Snacks",
4,:ratio™ KETO* Friendly Cereal OR Granola,,RATIO,"Yogurt, Cereal, Granola, & Toaster Pastries, Nuts & Seeds",
5,"Adult Astepro® Allergy, 22 count at Dollar General",DOLLAR GENERAL STORE,ASTEPRO,Medicines & Treatments,Health & Wellness
6,AleveX™ at Walmart,WALMART,ALEVE,Medicines & Treatments,Health & Wellness
7,"Aleve® products AND AleveX™, select varieties, at Walmart",WALMART,ALEVE,Medicines & Treatments,Health & Wellness
8,"Aleve® products, select varieties, 80 count+ at Walmart",WALMART,ALEVE,Medicines & Treatments,Health & Wellness
9,"André® California, Champagne OR Sparkling Wines, 750mL bottle",,ANDRE,Wine,Alcohol
10,Any ACME receipt,ACME,ACME,Medicines & Treatments,Health & Wellness
11,Any Albertsons receipt,ALBERTSONS,ALBERTSONS,Candy,Snacks
12,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,"Cheese, Crackers, Fruit & Vegetable Snacks, Dressings, Cooking & Baking, Refrigerated Doughs, Packaged Vegetables, Frozen Meals, Chips, Frozen Pizza & Pizza Snacks, Cereal, Granola, & Toaster Pastries, Bread, Frozen Breakfast, Cookies, Soup & Broth",
13,"Any General Mills™ products, spend $30",,ANNIES HOMEGROWN,,
14,"Any General Mills™ products, spend $50",,ANNIES HOMEGROWN,,
15,"Any General Mills™ products, spend $60",,ANNIES HOMEGROWN,,
16,Any Pavilions receipt,PAVILIONS,PAVILIONS,Cooking & Baking,Pantry
17,Any Randalls receipt,RANDALLS,RANDALLS,,
18,Any Randalls receipt,RANDALLS FOOD MARKETS,RANDALLS,,
19,Any Safeway receipt,SAFEWAY,SAFEWAY,Candy,Snacks
20,Any Shaw's receipt,SHAWS,SHAWS,Cooking & Baking,Pantry
21,Any Star Market receipt,STAR MARKET,STAR MARKET,Cooking & Baking,Pantry
22,Any Tom Thumb receipt,TOM THUMB,TOM THUMB,,
23,Any Vons receipt,VONS,VONS,Spirits,Alcohol
24,"Arber, at Target",TARGET,ARBER,,
25,"Arber, at Walmart",WALMART,ARBER,,
26,"Arbos Cheese Dip, 12 ounce, buy at Central Market",CENTRAL MARKET,ARBOS,,
27,"Arnold, Brownberry, Oroweat® Keto bread, buy 2",,ARNOLD BROWNBERRY OROWEAT,"Bread, Prepared Meals, Bakery",
28,"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",WALMART,ARNOLD BROWNBERRY OROWEAT,"Bread, Prepared Meals, Bakery",
29,Arnold® Grains Almighty,,ARNOLD BROWNBERRY OROWEAT,"Bread, Prepared Meals, Bakery",
30,"Artesano® buns, buy 2 at Walmart®",WALMART,SARA LEE ARTESANO,"Bakery, Bread",
31,"Back to the Roots Dry Plant Food, 5 pounds, at The Home Depot",THE HOME DEPOT,BACK TO THE ROOTS,Packaged Meals & Sides,Pantry
32,"Back to the Roots Garden Soil, 1 cubic foot, at Lowe's Home Improvement",LOWES HOME IMPROVEMENT,BACK TO THE ROOTS,Packaged Meals & Sides,Pantry
33,Back to the Roots Grow Hydroponic Grow Kit OR Refill Bundle at Walmart,WALMART,BACK TO THE ROOTS,Packaged Meals & Sides,Pantry
34,Back to the Roots Grow Kits at Walmart or The Home Depot,WALMART,BACK TO THE ROOTS,Packaged Meals & Sides,Pantry
35,"Back to the Roots Grow Seed Starting Pots OR Germination Trays, at Walmart or Target",TARGET,BACK TO THE ROOTS,Packaged Meals & Sides,Pantry
36,Back to the Roots Microgreens Grow Kit OR Seed Refill at Walmart,WALMART,BACK TO THE ROOTS,Packaged Meals & Sides,Pantry
37,"Back to the Roots Organic 3-In-1 Seed Starting Mix 12 quart, at Walmart or Target",TARGET,BACK TO THE ROOTS,Packaged Meals & Sides,Pantry
38,"Back to the Roots Organic Kits and Planters, at Target",TARGET,BACK TO THE ROOTS,Packaged Meals & Sides,Pantry
39,"Back to the Roots Potting Mix, 1 cubic foot, at Lowe's Home Improvement",LOWES HOME IMPROVEMENT,BACK TO THE ROOTS,Packaged Meals & Sides,Pantry
40,"Back to the Roots Raised Bed Gardening Kit with Soil, Seeds and Plant Food, at Target",TARGET,BACK TO THE ROOTS,Packaged Meals & Sides,Pantry
41,"Back to the Roots Seeds, at Walmart",WALMART,BACK TO THE ROOTS,Packaged Meals & Sides,Pantry
42,"Back to the Roots Soils, select varieties and sizes, at Lowes",LOWES HOME IMPROVEMENT,BACK TO THE ROOTS,Packaged Meals & Sides,Pantry
43,"Back to the Roots Soils, select varieties and sizes, at Walmart",WALMART,BACK TO THE ROOTS,Packaged Meals & Sides,Pantry
44,"Back to the Roots Soils, select varieties, at Walmart",WALMART,BACK TO THE ROOTS,Packaged Meals & Sides,Pantry
45,"Back to the Roots Soils, select varieties, at Walmart or Lowes",LOWES HOME IMPROVEMENT,BACK TO THE ROOTS,Packaged Meals & Sides,Pantry
46,"Bai® Antioxidant, 6 pack, at Walmart",WALMART,BAI,"Fruit Juices, Water, Drink Mixes, Tea",
47,"Bai® Antioxidant, 6 pack, buy 2 at Walmart",WALMART,BAI,"Fruit Juices, Water, Drink Mixes, Tea",
48,"BallPark® buns, buy 2",,BALL PARK POP UPS,"Bread, Bakery",
49,"Barilla® Pasta, select varieties, buy 2",,BARILLA,"Dry Pasta, Chips, Red Pasta Sauce, Pesto Sauce",
50,Barilla® Pesto Sauce,,BARILLA,"Dry Pasta, Chips, Red Pasta Sauce, Pesto Sauce",
51,"Barilla® pasta, select varieties, buy 2",,BARILLA,"Dry Pasta, Chips, Red Pasta Sauce, Pesto Sauce",
52,"Barilla® pasta, select varieties, buy 3",,BARILLA,"Dry Pasta, Chips, Red Pasta Sauce, Pesto Sauce",
53,"Barilla® pasta, select varieties, buy 4",,BARILLA,"Dry Pasta, Chips, Red Pasta Sauce, Pesto Sauce",
54,Bays® English Muffins,,BAYS,Bread,Pantry
55,"Beech-Nut pouches, buy 8",,BEECHNUT,"Crackers, Fruit & Vegetable Snacks, Nuts & Seeds, Cookies",
56,"Beech-Nut snacks, select varieties",,BEECHNUT,"Crackers, Fruit & Vegetable Snacks, Nuts & Seeds, Cookies",
57,"Ben & Jerry's Frozen Creme Brulee Non Dairy Dessert, 16 ounce",,BEN AND JERRYS,Frozen Desserts,Frozen
58,"Ben & Jerry's Frozen Sugar Cookie Dough Chunks, 8 ounce",,BEN AND JERRYS,Frozen Desserts,Frozen
59,"Ben & Jerry's Wake & No Bake Cookie Dough Ice Cream, 16 ounce",,BEN AND JERRYS,Frozen Desserts,Frozen
60,Ben & Jerry's® Churray For Churros™ Ice Cream,,BEN AND JERRYS,Frozen Desserts,Frozen
61,"Ben & Jerry's® Doggie Desserts, 4 count",,BEN AND JERRYS,Frozen Desserts,Frozen
62,"Ben & Jerry's® Doggie Desserts, 4 ounce, buy 2",,BEN AND JERRYS,Frozen Desserts,Frozen
63,"Ben & Jerry's®, select varieties",,BEN AND JERRYS,Frozen Desserts,Frozen
64,"Ben & Jerry's®, select varieties, spend $12",,BEN AND JERRYS,Frozen Desserts,Frozen
65,"Beyond Meat® Plant-Based products, spend $15",,BEYOND MEAT,"Plant-Based Meat, Frozen Plant-Based Meat, Packaged Meat",
66,"Beyond Meat® Plant-Based products, spend $20",,BEYOND MEAT,"Plant-Based Meat, Frozen Plant-Based Meat, Packaged Meat",
67,"Beyond Meat® Plant-Based products, spend $25",,BEYOND MEAT,"Plant-Based Meat, Frozen Plant-Based Meat, Packaged Meat",
68,"Beyond Steak™ Plant-Based seared tips, 10 ounce at H-E-B",H-E-B,BEYOND MEAT,"Plant-Based Meat, Frozen Plant-Based Meat, Packaged Meat",
